gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR
ENSG00000275620.1	13	0.209640781333998	0.0371842834385452	5.6378868152851	1.72149592052991e-08	0	1	6.89385048486465	0.864547858944682	3.54805633435402e-06
ENSG00000134201.10	13	-0.256568686523842	0.0456174885073779	-5.62434923356964	1.86208600086827e-08	0	1	11.4184632507765	0.493436962674831	3.79865544177127e-06
ENSG00000215548.2	2	-0.634199584500336	0.114306385032677	-5.54824285904095	2.88554877576737e-08	0	1	0.175377720829422	0.675376021820415	5.82705970961023e-06
ENSG00000137843.11	12	0.0970517648389877	0.0175133651188982	5.54158290997211	2.99749591108084e-08	15.0588444512741	1.17728560853679	13.064903546443	0.289104528359671	5.99259382543282e-06
ENSG00000181019.12	11	-0.226168576597415	0.0409664381700985	-5.52082599073736	3.37409790592253e-08	39.0141084171969	1.63972350661179	15.4913930414509	0.115147036337683	6.67870943912903e-06
ENSG00000135111.15	12	0.196497651791988	0.0358536497743248	5.48054809004973	4.24010243404285e-08	0.00779240106006818	1.00007793008323	11.2276703080759	0.424391705491243	8.31060077072399e-06
ENSG00000129990.14	13	0.0867179517816388	0.0158798497546023	5.46087986484294	4.7378058297075e-08	0	1	5.77372158980967	0.927056047934537	9.1959431211177e-06
ENSG00000204767.3	9	-0.166216566468158	0.0307492241340535	-5.40555318545678	6.46086751441212e-08	0	1	4.65800573770846	0.793424897410107	1.24197753219353e-05
ENSG00000165516.10	9	-0.100278318573595	0.0185714232183274	-5.39960332575021	6.67884084216275e-08	0	1	6.10746702360701	0.635195249327149	1.25965458600488e-05
ENSG00000212719.10	12	-0.105587322640264	0.0195529572702692	-5.40006921616979	6.66151898808532e-08	0	1	9.08981833713564	0.613601900260314	1.25965458600488e-05
ENSG00000204179.10	13	-0.258327473070844	0.0478819331269798	-5.39509280850829	6.84881424891462e-08	59.4018598562685	2.46316702306966	28.9381943576446	0.00402408875691219	1.27964013518038e-05
ENSG00000118322.12	13	-0.121221934064767	0.0225263341184336	-5.38134316162743	7.39321019011918e-08	16.2820921860245	1.1944875667725	14.7021920742449	0.258128108094704	1.35600970753085e-05
ENSG00000187953.10	13	0.145660025837022	0.0270598680338056	5.38288012547032	7.33033584504611e-08	4.75369000962334	1.04990944016733	12.5586250240855	0.401920184479251	1.35600970753085e-05
ENSG00000125618.16	5	-0.369605408829296	0.068913267003413	-5.36334184839895	8.16961827640314e-08	0	1	3.34080847378214	0.502492594558758	1.48479098710774e-05
ENSG00000169100.13	11	-0.27881465443198	0.0522396233822723	-5.33722558433676	9.43795883243858e-08	79.0030943876244	4.76260654051137	45.8381834999182	1.5343564036962e-06	1.68467565159029e-05
